Sync.Time,Interval Name,Gaze Target,Target.Code,Index
02:09.1,Red_1_1,BlueNbook,7,1
02:14.7,Red_1_1,Orange,32,1
02:16.2,Red_1_1,Computer,1,1
02:16.8,Red_1_1,BlueNbook,7,1
02:17.9,Red_1_1,Orange,32,1
02:20.1,Red_1_1,BlueNbook,7,1
02:21.5,Red_1_1,Orange,32,1
02:22.0,Red_1_1,BlueNbook,7,1
02:25.0,Red_1_1,Orange,32,1
02:26.5,Red_1_1,Computer,1,1
02:36.3,Red_1_1,Wandering,18,1
02:38.8,Red_1_1,BlueNbook,7,1
02:41.6,Red_1_1,Red,30,1
02:50.3,Red_1_1,OrangeNbook,9,1
02:51.8,Red_1_1,Computer,1,1
03:02.6,Red_1_1,OrangeNbook,9,1
03:03.3,Red_1_1,BlueNbook,7,1
03:07.9,Red_1_1,Computer,1,1
03:09.1,Red_1_1,Computer,1,1
03:37.8,Red_1_2,Computer,1,2
03:38.1,Red_1_2,Test,2,2
03:41.4,Red_1_2,Computer,1,2
03:56.9,Red_1_2,Red,30,2
03:58.1,Red_1_2,Computer,1,2
04:05.3,Red_1_2,Test,2,2
04:07.0,Red_1_2,Computer,1,2
04:37.8,Red_1_2,Computer,1,2
05:36.3,Red_1_3,Computer,1,3
05:39.6,Red_1_3,Test,2,3
05:41.0,Red_1_3,Computer,1,3
05:55.0,Red_1_3,Distracted,18,3
05:58.9,Red_1_3,Computer,1,3
06:02.6,Red_1_3,Distracted,18,3
06:03.4,Red_1_3,Computer,1,3
06:36.3,Red_1_3,Computer,1,3
09:02.1,Red_1_4,BlueNbook,7,4
09:02.3,Red_1_4,Computer,1,4
09:03.3,Red_1_4,BlueNbook,7,4
09:04.2,Red_1_4,Computer,1,4
09:05.2,Red_1_4,BlueNbook,7,4
09:05.7,Red_1_4,Computer,1,4
09:06.9,Red_1_4,BlueNbook,7,4
09:08.3,Red_1_4,Computer,1,4
09:09.8,Red_1_4,Distracted,18,4
09:11.9,Red_1_4,Computer,1,4
09:19.4,Red_1_4,Red,30,4
09:23.8,Red_1_4,Computer,1,4
09:24.5,Red_1_4,Test,2,4
09:27.3,Red_1_4,Computer,1,4
09:28.1,Red_1_4,Distracted,18,4
09:28.8,Red_1_4,Computer,1,4
09:29.8,Red_1_4,Distracted,18,4
09:32.1,Red_1_4,Computer,1,4
09:34.6,Red_1_4,Wandering (looking for professor?),18,4
09:37.0,Red_1_4,Computer,1,4
09:41.2,Red_1_4,Test,2,4
09:43.1,Red_1_4,Computer,1,4
09:53.4,Red_1_4,Test,2,4
09:57.2,Red_1_4,Computer,1,4
09:59.2,Red_1_4,Red,30,4
10:02.1,Red_1_4,Red,30,4
11:19.1,Red_1_5,Computer,1,5
11:22.0,Red_1_5,Red,30,5
11:24.0,Red_1_5,Computer,1,5
11:25.3,Red_1_5,Red,30,5
11:32.4,Red_1_5,Computer,1,5
12:02.5,Red_1_5,Indetermined,91,5
12:05.7,Red_1_5,BlueNbook,7,5
12:07.2,Red_1_5,Computer,1,5
12:08.0,Red_1_5,BlueNbook,7,5
12:13.3,Red_1_5,OrangeCalc,8,5
12:18.0,Red_1_5,Orange,32,5
12:18.5,Red_1_5,OrangeCalc,8,5
12:19.1,Red_1_5,OrangeCalc,8,5
13:02.2,Red_1_6,Orange,32,6
13:03.5,Red_1_6,Computer,1,6
13:04.5,Red_1_6,OrangeCell,14,6
13:15.3,Red_1_6,Computer,1,6
13:17.5,Red_1_6,OrangeCell,14,6
13:22.0,Red_1_6,Computer,1,6
13:23.8,Red_1_6,Orange,32,6
13:24.3,Red_1_6,Computer,1,6
13:26.0,Red_1_6,Orange,32,6
13:26.5,Red_1_6,Computer,1,6
13:51.0,Red_1_6,Orange,32,6
13:51.8,Red_1_6,Computer,1,6
13:55.6,Red_1_6,Red,30,6
13:57.3,Red_1_6,Computer,1,6
14:01.8,Red_1_6,Orange,32,6
14:02.2,Red_1_6,Orange,32,6
16:02.3,Red_1_7,Computer,1,7
16:03.8,Red_1_7,OrangeCell,14,7
16:05.5,Red_1_7,Computer,1,7
16:06.9,Red_1_7,OrangeCell,14,7
16:10.3,Red_1_7,Computer,1,7
16:15.6,Red_1_7,OrangeCell,14,7
16:18.1,Red_1_7,Computer,1,7
16:18.6,Red_1_7,OrangeCell,14,7
16:20.1,Red_1_7,Computer,1,7
16:23.8,Red_1_7,OrangeCell,14,7
16:24.6,Red_1_7,Computer,1,7
16:30.1,Red_1_7,OrangeCell,14,7
16:32.1,Red_1_7,Computer,1,7
16:34.6,Red_1_7,OrangeCell,14,7
16:36.1,Red_1_7,Computer,1,7
16:48.6,Red_1_7,Orange,32,7
16:51.0,Red_1_7,OrangeCalc,8,7
16:56.8,Red_1_7,Computer,1,7
17:02.3,Red_1_7,Computer,1,7
17:32.6,Red_1_8,Computer,1,8
17:56.0,Red_1_8,Red,30,8
18:00.5,Red_1_8,Computer,1,8
18:02.2,Red_1_8,Red,30,8
18:04.2,Red_1_8,Test,2,8
18:06.5,Red_1_8,BlueNbook,7,8
18:19.7,Red_1_8,Computer,1,8
18:29.5,Red_1_8,BlueNbook,7,8
18:30.7,Red_1_8,Red,30,8
18:32.6,Red_1_8,Red,30,8
20:39.7,Red_1_9,BlueCalc,6,9
20:40.3,Red_1_9,Red,30,9
20:43.0,Red_1_9,Test,2,9
20:44.8,Red_1_9,Red,30,9
20:46.3,Red_1_9,BlueCalc,6,9
20:47.5,Red_1_9,Computer,1,9
20:50.3,Red_1_9,Test,2,9
20:54.5,Red_1_9,Red,30,9
20:56.1,Red_1_9,Indetermined,91,9
20:57.2,Red_1_9,Red,30,9
20:57.7,Red_1_9,Test,2,9
20:59.2,Red_1_9,BlueCalc,6,9
21:04.7,Red_1_9,Red,30,9
21:06.7,Red_1_9,BlueNbook,7,9
21:12.4,Red_1_9,BlueCalc,6,9
21:18.7,Red_1_9,BlueNbook,7,9
21:20.0,Red_1_9,BlueCalc,6,9
21:20.6,Red_1_9,BlueNbook,7,9
21:23.4,Red_1_9,Orange,32,9
21:24.5,Red_1_9,Test,2,9
21:26.3,Red_1_9,BlueCalc,6,9
21:27.1,Red_1_9,BlueNbook,7,9
21:28.3,Red_1_9,Red,30,9
21:29.1,Red_1_9,Test,2,9
21:29.7,Red_1_9,Test,2,9
21:30.5,Red_1_9,Test,2,9
21:39.7,Red_1_9,Test,2,9
21:55.1,Red_1_10,BlueNbook,7,10
22:03.5,Red_1_10,Orange,32,10
22:04.5,Red_1_10,BlueNbook,7,10
22:12.2,Red_1_10,BlueCalc,6,10
22:17.3,Red_1_10,Computer,1,10
22:19.1,Red_1_10,OrangeNbook,9,10
22:20.8,Red_1_10,Orange,32,10
22:21.4,Red_1_10,OrangeNbook,9,10
22:22.4,Red_1_10,BlueNbook,7,10
22:23.3,Red_1_10,Computer,1,10
22:23.7,Red_1_10,BlueNbook,7,10
22:25.1,Red_1_10,Red,30,10
22:27.4,Red_1_10,Computer,1,10
22:29.1,Red_1_10,BlueCalc,6,10
22:29.4,Red_1_10,OrangeCalc,8,10
22:34.4,Red_1_10,Indetermined,91,10
22:35.9,Red_1_10,BlueCalc,6,10
22:45.7,Red_1_10,Distracted,18,10
22:55.1,Red_1_10,Distracted,18,10
22:55.1,Red_1_11,Distracted,18,11
22:55.7,Red_1_11,OrangeCell,14,11
22:56.8,Red_1_11,Computer,1,11
23:55.1,Red_1_11,Computer,1,11
25:31.0,Red_1_12,Computer,1,12
25:34.7,Red_1_12,BlueCalc,6,12
25:44.2,Red_1_12,Orange,32,12
25:44.9,Red_1_12,BlueCalc,6,12
26:05.2,Red_1_12,BlueNbook,7,12
26:06.4,Red_1_12,BlueCalc,6,12
26:06.9,Red_1_12,Red,30,12
26:13.4,Red_1_12,Orange,32,12
26:13.9,Red_1_12,OrangeCell,14,12
26:14.7,Red_1_12,Computer,1,12
26:24.4,Red_1_12,BlueCalc,6,12
26:24.9,Red_1_12,Test,2,12
26:26.1,Red_1_12,Orange,32,12
26:28.1,Red_1_12,Computer,1,12
26:30.9,Red_1_12,Red,30,12
26:31.0,Red_1_12,Red,30,12
27:10.1,Red_1_13,BlueCalc,6,13
27:17.5,Red_1_13,BlueNbook,7,13
27:19.7,Red_1_13,Test,2,13
27:20.2,Red_1_13,BlueNbook,7,13
27:21.5,Red_1_13,Test,2,13
27:22.2,Red_1_13,BlueNbook,7,13
27:24.0,Red_1_13,Computer,1,13
27:35.7,Red_1_13,Another team,13,13
27:37.6,Red_1_13,Computer,1,13
27:41.9,Red_1_13,Test,2,13
27:44.4,Red_1_13,Computer,1,13
28:10.1,Red_1_13,Computer,1,13
